WS,ID,Visual Score,Biological Score,Conductivity (uS/cm),Turbidity (NTU),Phosphate (mg/l),Nitrate (mg/l),pH,Temperature (°C),E.coli (cfu),E.coli Method,date
NORO,605,,,69.0,9.3,,1.6,6.4,,364.0,,2004-04-03
NORO,609,,,87.0,8.6,,2.0,5.9,,275.0,,2004-04-03
NORO,610,34.0,,56.0,12.1,,,6.3,,,,2004-04-03
NORO,615,,,138.0,1.8,,2.1,6.1,,,,2004-04-03
NORO,618,41.0,,163.0,1.3,,,6.2,,,,2004-04-03
NORO,627,32.0,,381.0,7.7,,,6.0,,,,2004-04-03
BICO,201,44.0,19.0,44.0,15.0,,,6.14,,2098.0,,2004-07-17
BICO,301,,,57.0,5.8,,,6.2,,211.0,,2004-07-17
MIDO,301,55.0,25.0,39.0,18.0,,,7.1,,84.0,,2004-07-17
MIDO,601,46.0,20.0,50.0,11.0,,0.35,7.1,,218.0,,2004-07-17
MIDO,701,47.0,20.0,,,,,,,,,2004-07-17
MIDO,704,54.0,25.0,97.0,,,5.7,7.0,,292.0,,2004-07-17
MIDO,708,,,79.0,,,4.5,7.1,,,,2004-07-17
MIDO,801,,,70.0,20.0,,,7.25,,41.0,,2004-07-17
MIDO,802,25.0,20.0,73.0,8.0,,,7.2,,148.0,,2004-07-17
MIDO,803,26.0,5.0,106.0,12.8,,,7.1,,3448.0,,2004-07-17
MIDO,811,,,53.0,,,,6.7,,121.0,,2004-07-17
NORO,401,36.0,15.0,61.0,24.0,,,6.44,,148.0,,2004-07-17
NORO,502,,,282.0,13.5,,,6.9,,135.0,,2004-07-17
NORO,503,31.0,13.0,77.0,15.5,,,6.4,,111985.0,,2004-07-17
NORO,506,,,31.0,13.1,,,6.3,,158.0,,2004-07-17
NORO,510,,,70.0,33.8,,,6.7,,86.0,,2004-07-17
NORO,517,33.0,4.0,187.0,15.6,,,,,41.0,,2004-07-17
NORO,520,,,127.0,16.7,,,,,373.0,,2004-07-17
NORO,527,,,128.0,11.5,,,,,201.0,,2004-07-17
NORO,601,14.0,1.0,565.0,6.2,,,5.9,,41.0,,2004-07-17
NORO,605,,,,,,,,,,,2004-07-17
NORO,609,,,,,,,,,,,2004-07-17
BICO,201,43.0,23.0,64.9,8.0,,,7.22,,305.0,,2004-11-06
BICO,301,,,80.0,2.6,,,7.4,,209.0,,2004-11-06
MIDO,301,47.0,18.0,57.2,4.3,,,7.3,,749.0,,2004-11-06
MIDO,502,25.0,,68.0,21.2,,0.0,7.3,,393.0,,2004-11-06
MIDO,508,34.0,,72.3,17.8,,0.0,7.24,,160.0,,2004-11-06
MIDO,510,26.0,,68.4,21.2,,1.0,7.46,,,,2004-11-06
MIDO,601,47.0,17.0,69.8,12.6,,,7.4,,,,2004-11-06
MIDO,704,51.0,28.0,186.0,5.3,,4.5,7.42,,98.0,,2004-11-06
MIDO,708,,,95.0,,,5.6,,,,,2004-11-06
MIDO,719,,,91.0,72.3,,,7.4,,,,2004-11-06
MIDO,801,,,84.6,57.0,,,7.48,,,,2004-11-06
MIDO,802,,21.0,90.4,7.0,,,7.38,,327.0,,2004-11-06
MIDO,803,22.0,7.0,132.3,2.8,,,7.26,,683.0,,2004-11-06
MIDO,811,42.0,,74.4,3.9,,1.3,7.0,,246.0,,2004-11-06
NORO,108,37.0,9.0,70.6,4.6,,,7.04,,43.0,,2004-11-06
NORO,401,40.0,27.0,66.2,10.6,,,7.0,,74.0,,2004-11-06
NORO,502,,,258.0,15.8,,,7.13,,,,2004-11-06
NORO,503,27.0,12.0,84.4,12.5,,,7.25,,135.0,,2004-11-06
NORO,506,,,141.6,4.8,,,7.1,,,,2004-11-06
NORO,510,,,68.0,21.6,,0.2,7.35,,,,2004-11-06
NORO,517,25.0,7.0,180.0,11.7,,,7.11,,,,2004-11-06
NORO,520,,,123.6,5.0,,,7.29,,359.0,,2004-11-06
NORO,527,,,122.6,4.9,,0.9,7.1,,,,2004-11-06
NORO,601,16.0,12.0,567.0,9.18,,,6.7,,,,2004-11-06
NORO,605,,,100.7,25.6,,,7.2,,,,2004-11-06
NORO,609,,,101.3,25.6,,,7.33,,313.0,,2004-11-06
BICO,201,46.0,22.0,46.5,10.22,,0.2,6.56,,121.0,,2005-02-05
BICO,301,,,71.7,5.98,,1.3,6.43,,644.0,,2005-02-05
MIDO,301,28.0,23.0,72.1,7.36,,0.4,6.63,,52.0,,2005-02-05
MIDO,601,48.0,26.0,55.2,14.7,,0.6,6.59,,110.0,,2005-02-05
MIDO,704,48.5,32.0,90.0,12.0,,6.1,6.23,,10.0,,2005-02-05
MIDO,801,,,63.4,59.2,,1.1,6.07,,384.0,,2005-02-05
MIDO,802,44.0,15.0,76.7,9.0,,0.9,6.45,,278.0,,2005-02-05
MIDO,803,29.0,7.0,115.5,2.96,,2.0,6.41,,335.0,,2005-02-05
MIDO,811,,,70.4,7.17,,2.1,6.6,,121.0,,2005-02-05
NORO,401,44.0,7.0,51.8,10.93,,0.5,,,,,2005-02-05
NORO,502,,,176.5,8.56,,2.7,6.31,,74.0,,2005-02-05
NORO,503,30.0,15.0,62.5,12.5,,1.0,6.61,,96.0,,2005-02-05
NORO,506,,,109.4,6.34,,2.5,6.41,,20.0,,2005-02-05
NORO,510,,,63.1,54.6,,1.6,6.52,,2613.0,,2005-02-05
NORO,517,43.0,11.0,153.7,11.6,,3.6,6.27,,199.0,,2005-02-05
NORO,520,,,108.6,6.97,,1.9,6.44,,86.0,,2005-02-05
NORO,527,,,105.2,6.31,,1.5,6.41,,98.0,,2005-02-05
NORO,601,18.0,3.0,310.0,12.7,,4.6,5.36,,,,2005-02-05
NORO,605,,,68.7,61.6,,1.1,6.61,,6131.0,,2005-02-05
NORO,609,,,69.9,68.3,,1.3,6.66,,,,2005-02-05
BICO,101,37.0,,65.0,26.0,,1.1,,,100.0,,2005-04-23
BICO,201,48.0,13.0,40.0,9.8,,0.6,,,100.0,,2005-04-23
BICO,301,,,46.0,7.6,,1.3,,,,,2005-04-23
BICO,302,36.0,,53.0,11.0,,,,,200.0,,2005-04-23
MIDO,101,53.0,,33.0,4.4,,,,,200.0,,2005-04-23
MIDO,103,48.0,,75.0,29.6,,,,,500.0,,2005-04-23
MIDO,301,46.0,15.0,35.0,4.5,,,,,,,2005-04-23
MIDO,305,,,34.0,13.7,,,,,2600.0,,2005-04-23
MIDO,307,55.0,,36.0,23.4,,,,,700.0,,2005-04-23
MIDO,310,51.0,,41.0,6.2,,0.4,,,300.0,,2005-04-23
MIDO,313,46.0,,37.0,6.6,,,,,200.0,,2005-04-23
MIDO,316,50.0,,36.0,7.5,,,,,,,2005-04-23
MIDO,318,52.0,,40.0,6.6,,,,,300.0,,2005-04-23
MIDO,403,,,48.0,21.6,,0.4,,,700.0,,2005-04-23
MIDO,502,42.0,,39.0,66.0,,,,,500.0,,2005-04-23
MIDO,503,46.0,,41.0,61.6,,0.5,,,1000.0,,2005-04-23
MIDO,504,32.0,,42.0,69.5,,0.3,,,,,2005-04-23
MIDO,505,43.0,,45.0,32.8,,0.4,,,400.0,,2005-04-23
MIDO,506,46.0,,38.0,46.5,,0.3,,,900.0,,2005-04-23
MIDO,507,48.0,,34.0,12.0,,1.0,,,400.0,,2005-04-23
MIDO,508,42.0,,44.0,28.1,,,,,500.0,,2005-04-23
MIDO,509,38.0,,,,,,,,300.0,,2005-04-23
MIDO,510,46.0,,42.0,52.9,,,,,900.0,,2005-04-23
MIDO,511,30.0,,37.0,57.4,,0.0,,,700.0,,2005-04-23
MIDO,512,44.0,,34.0,12.7,,,,,,,2005-04-23
MIDO,515,29.0,,43.0,22.3,,,,,200.0,,2005-04-23
MIDO,601,44.0,19.0,38.0,29.9,,0.3,,,500.0,,2005-04-23
MIDO,602,51.0,,,,,,,,400.0,,2005-04-23
MIDO,603,,,41.0,27.4,,,,,300.0,,2005-04-23
MIDO,604,,,43.0,27.1,,,,,700.0,,2005-04-23
MIDO,605,,,40.0,32.5,,,,,300.0,,2005-04-23
MIDO,606,,,36.0,24.9,,,,,200.0,,2005-04-23
MIDO,608,,,43.0,21.9,,,,,500.0,,2005-04-23
MIDO,609,,,42.0,9.0,,,,,500.0,,2005-04-23
MIDO,610,,,43.0,23.3,,,,,600.0,,2005-04-23
MIDO,611,,,42.0,41.6,,,,,300.0,,2005-04-23
MIDO,612,,,43.0,25.8,,,,,600.0,,2005-04-23
MIDO,613,,,46.0,38.6,,0.0,,,,,2005-04-23
MIDO,614,45.0,,42.0,25.8,,0.3,,,,,2005-04-23
MIDO,616,,,52.0,12.0,,,,,400.0,,2005-04-23
MIDO,617,,,34.0,14.2,,,,,,,2005-04-23
MIDO,704,48.0,28.0,80.0,7.6,,,,,100.0,,2005-04-23
MIDO,705,35.0,,67.0,8.6,,,,,100.0,,2005-04-23
MIDO,706,44.0,,38.0,21.5,,0.0,,,100.0,,2005-04-23
MIDO,707,36.0,,96.0,36.5,,1.9,,,200.0,,2005-04-23
MIDO,709,31.0,,60.0,5.5,,,,,200.0,,2005-04-23
MIDO,712,39.0,,63.0,4.1,,,,,100.0,,2005-04-23
MIDO,719,,,62.0,28.7,,0.9,,,400.0,,2005-04-23
MIDO,801,,,57.0,30.1,,1.1,,,400.0,,2005-04-23
MIDO,802,42.0,19.0,70.0,9.1,,,,,200.0,,2005-04-23
MIDO,803,29.0,7.0,88.0,3.9,,,,,500.0,,2005-04-23
MIDO,804,31.0,,61.0,15.1,,,,,400.0,,2005-04-23
MIDO,805,36.0,,44.0,5.8,,,,,700.0,,2005-04-23
MIDO,806,40.0,,65.0,27.9,,,,,,,2005-04-23
MIDO,807,32.0,,60.0,9.8,,,,,500.0,,2005-04-23
MIDO,809,40.0,,56.0,6.6,,,,,100.0,,2005-04-23
MIDO,810,42.0,,52.0,8.9,,,,,100.0,,2005-04-23
MIDO,811,,,53.0,3.8,,1.5,,,200.0,,2005-04-23
MIDO,812,34.0,,67.0,29.1,,,,,600.0,,2005-04-23
MIDO,813,25.0,,49.0,8.59,,,,,500.0,,2005-04-23
MIDO,814,37.0,,60.0,13.9,,,,,100.0,,2005-04-23
MIDO,816,36.0,,47.0,13.0,,,,,100.0,,2005-04-23
MIDO,817,37.0,,45.0,7.5,,,,,,,2005-04-23
MIDO,818,48.0,,74.0,5.8,,,,,700.0,,2005-04-23
MIDO,819,48.0,,40.0,10.0,,,,,100.0,,2005-04-23
MIDO,820,23.0,,37.0,8.8,,0.6,,,,,2005-04-23
MIDO,821,,,54.0,8.4,,,,,100.0,,2005-04-23
MIDO,831,36.0,,90.0,5.0,,,,,500.0,,2005-04-23
NORO,102,,,86.0,0.9,,1.0,,,,,2005-04-23
NORO,108,36.0,,57.0,28.9,,0.7,,,400.0,,2005-04-23
NORO,109,38.0,,32.0,9.8,,,,,100.0,,2005-04-23
NORO,115,,,35.0,9.4,,,,,200.0,,2005-04-23
NORO,117,38.0,,33.0,11.0,,,,,500.0,,2005-04-23
NORO,401,18.0,,47.0,14.3,,0.4,,,200.0,,2005-04-23
NORO,405,44.0,,34.0,15.6,,0.6,,,400.0,,2005-04-23
NORO,501,43.0,,55.0,18.1,,0.2,,,100.0,,2005-04-23
NORO,502,,,169.0,21.3,,,,,2300.0,,2005-04-23
NORO,503,35.0,17.0,49.0,11.9,,0.7,,,100.0,,2005-04-23
NORO,504,32.0,,94.0,5.0,,,,,200.0,,2005-04-23
NORO,506,,,115.0,3.1,,2.3,,,200.0,,2005-04-23
NORO,510,,,56.0,23.9,,0.4,,,400.0,,2005-04-23
NORO,512,32.0,,52.0,29.9,,0.6,,,400.0,,2005-04-23
NORO,513,35.0,,48.0,13.8,,0.2,,,100.0,,2005-04-23
NORO,514,44.0,,49.0,14.4,,0.5,,,100.0,,2005-04-23
NORO,515,41.0,,42.0,14.8,,0.6,,,200.0,,2005-04-23
NORO,516,43.0,,195.0,2.7,,,,,,,2005-04-23
NORO,517,38.0,7.0,131.0,30.7,,,,,,,2005-04-23
NORO,518,37.0,,267.0,6.19,,,,,700.0,,2005-04-23
NORO,520,,,102.0,11.7,,1.1,,,300.0,,2005-04-23
NORO,527,,,99.0,8.9,,1.2,,,200.0,,2005-04-23
NORO,601,19.0,2.0,440.0,4.3,,0.4,,,,,2005-04-23
NORO,603,42.0,,422.0,11.4,,3.2,,,100.0,,2005-04-23
NORO,604,41.0,,431.0,17.5,,3.6,,,,,2005-04-23
NORO,605,,,57.0,35.3,,0.8,,,400.0,,2005-04-23
NORO,607,28.0,,,,,,,,,,2005-04-23
NORO,609,,,60.0,27.7,,0.9,,,400.0,,2005-04-23
NORO,610,39.0,,54.0,33.6,,,,,700.0,,2005-04-23
NORO,611,31.0,,45.0,37.5,,0.8,,,500.0,,2005-04-23
NORO,612,42.0,,60.0,5.2,,,,,200.0,,2005-04-23
NORO,615,,,145.0,2.8,,2.2,,,100.0,,2005-04-23
NORO,618,37.0,,110.0,2.8,,,,,300.0,,2005-04-23
NORO,627,38.0,,55.0,46.1,,0.6,,,600.0,,2005-04-23
BICO,201,,,59.4,14.0,,,6.0,,860.0,,2005-07-23
BICO,301,,,57.0,24.0,,,6.5,,5475.0,,2005-07-30
MIDO,301,47.0,25.0,50.0,6.0,,,6.8,,379.0,,2005-07-30
MIDO,601,,,59.0,18.2,,,6.8,,676.0,,2005-07-30
MIDO,704,49.0,32.0,125.0,16.8,,,6.5,,197.0,,2005-07-30
MIDO,801,,,86.9,23.8,,,7.25,,171.0,,2005-07-30
MIDO,802,31.0,19.0,84.4,16.7,,,7.2,,4884.0,,2005-07-30
MIDO,803,,,88.1,17.6,,,6.6,,9804.0,,2005-07-30
MIDO,811,,,68.3,11.2,,,6.5,,2282.0,,2005-07-30
NORO,401,,,59.5,28.0,,,6.5,,275.0,,2005-07-30
NORO,502,,,158.0,20.5,,,6.5,,14136.0,,2005-07-30
NORO,503,,,70.5,20.5,,,6.8,,1935.0,,2005-07-30
NORO,506,,,110.0,7.0,,,6.0,,6131.0,,2005-07-30
NORO,510,,,83.1,33.0,,,6.8,,419.0,,2005-07-30
NORO,517,,,139.5,32.5,,,6.5,,7701.0,,2005-07-30
NORO,520,,,131.0,42.5,,,6.5,,24192.0,,2005-07-30
NORO,527,,,126.0,48.5,,,6.5,,14136.0,,2005-07-30
NORO,601,15.0,5.0,427.0,61.5,,,6.0,,496.0,,2005-07-30
NORO,605,,,94.0,36.0,,,6.5,,727.0,,2005-07-30
NORO,615,,,90.6,14.0,,,6.5,,,,2005-07-30
BICO,201,,,62.0,5.1,,,6.9,,512.0,,2005-11-05
BICO,301,,,77.6,1.7,,3.2,6.9,,833.0,,2005-11-05
MIDO,301,49.0,26.0,66.0,5.2,,1.4,7.65,,275.0,,2005-11-05
MIDO,601,,17.0,68.0,5.7,,,7.25,,148.0,,2005-11-05
MIDO,704,51.0,27.0,135.5,4.6,,8.5,7.1,,10.0,,2005-11-05
MIDO,801,,,86.0,10.5,,,7.7,,74.0,,2005-11-05
MIDO,802,33.0,18.0,94.0,4.5,,1.5,7.6,,109.0,,2005-11-05
MIDO,803,23.0,5.0,,,,,,,,,2005-11-05
NORO,401,,,,,,,,,121.0,,2005-11-05
NORO,502,,,250.0,15.2,,3.4,7.15,,132.0,,2005-11-05
NORO,503,38.0,15.0,80.2,6.65,,,7.16,,404.0,,2005-11-05
NORO,506,,,138.5,12.5,,3.3,6.8,,2723.0,,2005-11-05
NORO,510,,,154.0,12.9,,,7.4,,161.0,,2005-11-05
NORO,517,,,219.0,5.9,,,6.7,,122.0,,2005-11-05
NORO,520,,,152.0,3.9,,,7.2,,134.0,,2005-11-05
NORO,527,,,149.0,3.8,,,7.0,,98.0,,2005-11-05
NORO,601,14.0,1.0,560.0,3.7,,0.01,6.4,,63.0,,2005-11-05
NORO,605,,,110.0,9.8,,2.4,7.4,,63.0,,2005-11-05
BICO,201,40.0,27.0,60.0,8.4,,,7.2,,395.0,,2006-01-05
BICO,301,,,83.0,4.7,,,6.4,,529.0,,2006-01-21
MIDO,301,47.0,22.0,52.0,7.5,,,7.0,,309.0,,2006-01-21
MIDO,601,,17.0,62.6,11.0,,,7.3,,233.0,,2006-01-21
MIDO,704,47.0,23.0,117.0,5.9,,,7.0,,20.0,,2006-01-21
MIDO,801,,,80.5,22.8,,,7.2,,175.0,,2006-01-21
MIDO,802,28.0,11.0,89.0,14.0,,,7.2,,789.0,,2006-01-21
MIDO,803,31.0,8.0,136.0,4.3,,,7.0,,309.0,,2006-01-21
NORO,401,,,58.5,13.0,,,6.9,,109.0,,2006-01-21
NORO,502,,,204.0,22.0,,,6.6,,272.0,,2006-01-21
NORO,503,34.0,12.0,74.5,10.2,,,6.8,,295.0,,2006-01-21
NORO,506,,,83.0,19.0,,,6.7,,4106.0,,2006-01-21
NORO,510,,,76.0,19.3,,,7.0,,288.0,,2006-01-21
NORO,517,,,156.0,8.5,,,6.2,,52.0,,2006-01-21
NORO,520,,,148.5,36.0,,,6.6,,14136.0,,2006-01-21
NORO,527,,,145.0,24.0,,,6.4,,4611.0,,2006-01-21
NORO,601,14.0,4.0,548.0,14.5,,,6.8,,30.0,,2006-01-21
NORO,605,,,89.0,18.6,,,7.0,,243.0,,2006-01-21
BICO,201,,29.0,42.9,20.0,,0.29,7.06,,1017.0,,2006-04-08
BICO,301,,7.0,42.9,39.1,,0.13,6.76,,14136.0,,2006-04-08
BICO,302,,,54.9,61.0,,,7.09,,19863.0,,2006-04-08
MIDO,101,34.0,,42.5,13.5,,,7.04,,,,2006-04-08
MIDO,103,25.0,,75.0,14.0,,,6.95,,,,2006-04-08
MIDO,301,50.0,22.0,40.6,9.8,,0.17,7.12,,794.0,,2006-04-08
MIDO,503,42.0,,47.7,12.3,,,7.79,,,,2006-04-08
MIDO,505,,,56.4,13.7,,0.5,7.0,,369.0,,2006-04-08
MIDO,507,43.0,,42.0,6.4,,0.54,7.12,,1067.0,,2006-04-08
MIDO,508,40.0,,50.8,12.6,,0.35,6.99,,862.0,,2006-04-08
MIDO,601,,,53.7,16.1,,0.36,6.9,,663.0,,2006-04-08
MIDO,602,34.0,,66.4,6.2,,,6.82,,,,2006-04-08
MIDO,604,22.0,,52.3,13.7,,,7.07,,,,2006-04-08
MIDO,605,,,42.5,13.9,,,6.92,,,,2006-04-08
MIDO,606,,,51.2,17.4,,,6.95,,,,2006-04-08
MIDO,608,,,43.9,10.7,,,7.14,,,,2006-04-08
MIDO,609,38.0,,53.4,12.4,,,,,,,2006-04-08
MIDO,610,,,52.2,32.2,,,6.76,,,,2006-04-08
MIDO,611,,,52.4,15.1,,,6.86,,,,2006-04-08
MIDO,612,,,54.8,9.5,,,6.8,,,,2006-04-08
MIDO,613,47.0,,53.2,20.6,,0.62,7.92,,,,2006-04-08
MIDO,614,39.0,,55.5,10.5,,,6.84,,,,2006-04-08
MIDO,616,,,44.8,27.1,,0.31,6.97,,1287.0,,2006-04-08
MIDO,701,,,54.9,10.2,,0.41,7.15,,2723.0,,2006-04-08
MIDO,704,46.0,26.0,94.9,11.9,,,6.9,,3654.0,,2006-04-08
MIDO,718,,,51.1,16.3,,,7.07,,583.0,,2006-04-08
MIDO,719,,,70.9,10.5,,,6.77,,,,2006-04-08
MIDO,726,,,74.4,10.6,,0.61,6.92,,1720.0,,2006-04-08
MIDO,801,,,74.8,13.2,,0.46,7.12,,259.0,,2006-04-08
MIDO,802,,14.0,72.5,16.0,,0.65,7.05,,,,2006-04-08
MIDO,803,27.0,9.0,65.4,23.6,,,6.82,,,,2006-04-08
MIDO,804,48.0,,65.9,5.7,,,7.05,,,,2006-04-08
MIDO,805,36.0,,51.5,12.8,,,6.84,,,,2006-04-08
MIDO,806,42.0,,51.9,36.2,,,6.98,,,,2006-04-08
MIDO,807,,,74.4,43.8,,,6.98,,,,2006-04-08
MIDO,810,32.0,,55.5,16.1,,,6.92,,,,2006-04-08
MIDO,811,49.0,,67.6,10.2,,,6.85,,6488.0,,2006-04-08
MIDO,813,21.0,,73.2,12.1,,,7.01,,,,2006-04-08
MIDO,814,33.0,,34.9,105.0,,,7.07,,,,2006-04-08
MIDO,816,42.0,,57.1,11.4,,,7.02,,416.0,,2006-04-08
MIDO,817,38.0,,,47.7,,0.37,7.19,,,,2006-04-08
MIDO,818,42.0,,60.8,58.2,,,6.84,,6867.0,,2006-04-08
MIDO,820,40.0,,42.4,13.8,,,7.01,,,,2006-04-08
MIDO,821,31.0,,57.9,25.0,,,6.94,,,,2006-04-08
MIDO,826,39.0,,65.2,43.1,,,6.86,,,,2006-04-08
MIDO,828,,,61.5,27.4,,0.47,6.79,,3448.0,,2006-04-08
MIDO,831,44.0,,,40.8,,,6.87,,,,2006-04-08
NORO,1,,,64.0,14.0,,,6.94,,,,2006-04-08
NORO,2,,,67.4,18.2,,,6.83,,,,2006-04-08
NORO,3,,,69.8,17.8,,,7.04,,,,2006-04-08
NORO,4,,,80.1,9.6,,0.54,7.02,,,,2006-04-08
NORO,102,41.0,,67.5,19.6,,,7.1,,,,2006-04-08
NORO,103,33.0,,53.5,13.9,,,6.87,,,,2006-04-08
NORO,109,41.0,,39.4,8.4,,,7.0,,,,2006-04-08
NORO,110,31.0,,72.7,17.0,,,7.05,,,,2006-04-08
NORO,111,37.0,,53.9,30.8,,,7.03,,,,2006-04-08
NORO,114,29.0,,67.0,19.0,,,7.1,,,,2006-04-08
NORO,115,34.0,,41.7,6.5,,,6.97,,,,2006-04-08
NORO,117,46.0,,38.5,11.9,,,7.04,,,,2006-04-08
NORO,201,40.0,,48.7,10.8,,,7.06,,,,2006-04-08
NORO,301,43.0,,56.4,18.7,,,7.04,,,,2006-04-08
NORO,401,45.0,16.0,50.2,11.0,,0.26,6.66,,285.0,,2006-04-08
NORO,402,48.0,,41.1,8.7,,,6.8,,,,2006-04-08
NORO,403,42.0,,33.8,9.7,,,6.75,,,,2006-04-08
NORO,404,38.0,,50.4,6.7,,,6.89,,,,2006-04-08
NORO,405,30.0,,37.5,9.3,,,7.09,,,,2006-04-08
NORO,407,36.0,,34.1,15.3,,,6.94,,,,2006-04-08
NORO,501,34.0,,75.0,36.9,,,6.73,,,,2006-04-08
NORO,502,,,66.7,54.0,,0.67,6.84,,8664.0,,2006-04-08
NORO,503,37.0,16.0,62.5,16.2,,0.35,,,1723.0,,2006-04-08
NORO,505,41.0,,59.9,78.8,,,6.87,,4611.0,,2006-04-08
NORO,506,,,,19.4,,,6.59,,3873.0,,2006-04-08
NORO,510,,,65.4,10.5,,0.13,6.9,,189.0,,2006-04-08
NORO,511,34.0,,100.1,48.5,,0.26,6.85,,,,2006-04-08
NORO,512,37.0,,55.6,,,,6.74,,24192.0,,2006-04-08
NORO,513,41.0,,56.7,14.8,,,6.03,,,,2006-04-08
NORO,515,36.0,,60.0,14.9,,,6.94,,,,2006-04-08
NORO,516,39.0,,32.6,31.4,,,6.88,,,,2006-04-08
NORO,517,,,190.1,19.6,,1.11,6.66,,1076.0,,2006-04-08
NORO,518,28.0,,57.2,78.2,,,6.98,,,,2006-04-08
NORO,520,,,105.1,91.4,,0.53,6.72,,19863.0,,2006-04-08
NORO,527,,,112.7,33.7,,0.68,6.69,,24192.0,,2006-04-08
NORO,601,40.0,5.0,429.0,18.6,,2.9,6.07,,10.0,,2006-04-08
NORO,603,25.0,,57.4,7.2,,,6.98,,,,2006-04-08
NORO,605,,,86.5,20.2,,0.65,6.68,,464.0,,2006-04-08
NORO,609,,,82.6,12.4,,0.27,6.76,,41.0,,2006-04-08
NORO,615,42.0,,44.5,40.1,,0.3,6.77,,5475.0,,2006-04-08
NORO,618,,,46.0,31.7,,,7.05,,,,2006-04-08
NORO,627,37.0,,63.5,71.7,,,6.89,,7270.0,,2006-04-08
BICO,201,50.0,18.0,64.0,11.4,,,6.5,,148.0,,2006-07-15
BICO,301,37.0,14.0,86.4,7.4,,,6.5,,,,2006-07-15
MIDO,301,51.0,24.0,54.0,6.4,,,6.8,,295.0,,2006-07-15
MIDO,601,,20.0,67.3,11.6,,,6.7,,185.0,,2006-07-15
MIDO,704,,23.0,123.0,6.9,,,6.5,,20.0,,2006-07-15
MIDO,801,,,92.0,18.4,,,7.0,,,,2006-07-15
MIDO,802,47.0,14.0,93.5,5.0,,,7.0,,278.0,,2006-07-15
MIDO,803,26.0,15.0,133.5,3.1,,,6.5,,1046.0,,2006-07-15
NORO,401,,,71.7,19.5,,,6.9,,108.0,,2006-07-15
NORO,502,,,271.0,29.0,,,6.7,,435.0,,2006-07-15
NORO,503,36.0,13.0,88.5,19.3,,,6.5,,384.0,,2006-07-15
NORO,506,,,153.0,9.8,,,6.3,,815.0,,2006-07-15
NORO,510,,,89.6,25.3,,,6.7,,,,2006-07-15
NORO,517,,,200.0,8.0,,,6.8,,63.0,,2006-07-15
NORO,520,,,163.5,4.5,,,6.8,,132.0,,2006-07-15
NORO,527,,,161.0,4.5,,,7.0,,815.0,,2006-07-15
NORO,601,36.0,1.0,674.0,2.9,,,5.8,,197.0,,2006-07-15
NORO,605,,,131.3,33.0,,,6.5,,201.0,,2006-07-15
BICO,201,52.0,19.0,60.3,3.23,,,6.65,,299.0,,2006-10-14
BICO,301,34.0,19.0,78.7,1.7,,,6.99,,683.0,,2006-10-14
MIDO,301,48.0,19.0,57.7,2.35,,,7.04,,31.0,,2006-10-14
MIDO,601,,26.0,71.0,9.1,,,7.16,,,,2006-10-14
MIDO,701,40.0,23.0,75.5,9.1,,,6.67,,,,2006-10-14
MIDO,704,49.0,17.0,118.0,17.8,,,6.74,,41.0,,2006-10-14
MIDO,801,,,104.0,14.9,,,6.82,,,,2006-10-14
MIDO,802,45.0,12.0,93.8,10.0,,,6.92,,305.0,,2006-10-14
MIDO,803,27.0,6.0,140.5,1.76,,,6.63,,842.0,,2006-10-14
NORO,401,,,75.4,5.1,,,6.63,,86.0,,2006-10-14
NORO,502,,,340.0,2.5,,,6.53,,309.0,,2006-10-14
NORO,503,,,87.9,10.45,,,6.8,,96.0,,2006-10-14
NORO,506,,,159.4,5.6,,,6.39,,1935.0,,2006-10-14
NORO,510,,,94.6,15.8,,,6.53,,,,2006-10-14
NORO,517,,,208.0,4.1,,,6.69,,,,2006-10-14
NORO,518,,,284.0,7.3,,,6.29,,201.0,,2006-10-14
NORO,520,,,369.0,6.2,,,6.59,,,,2006-10-14
NORO,527,,,171.0,2.3,,,6.78,,1039.0,,2006-10-14
NORO,601,36.0,3.0,704.0,3.75,,,6.02,,85.0,,2006-10-14
NORO,605,,,,,,,,,,,2006-10-14
BICO,201,43.0,24.0,61.2,5.24,,,7.04,,1281.0,,2007-01-20
BICO,301,35.0,18.0,77.8,2.93,,,6.96,,240.0,,2007-01-20
MIDO,301,,20.0,70.5,3.58,,,7.91,,336.0,,2007-01-20
MIDO,508,,,68.0,14.2,,,7.0,,272.0,,2007-01-20
MIDO,510,,,66.3,15.8,,,7.0,,173.0,,2007-01-20
MIDO,601,,,66.5,7.48,,,6.95,,189.0,,2007-01-20
MIDO,704,51.0,25.0,117.6,14.1,,,6.76,,305.0,,2007-01-20
MIDO,801,,,97.0,10.4,,,6.79,,,,2007-01-20
MIDO,802,41.0,20.0,94.6,3.01,,,6.77,,201.0,,2007-01-20
MIDO,803,,9.0,147.3,3.21,,,6.65,,309.0,,2007-01-20
NORO,401,,,,,,,,,,,2007-01-20
NORO,502,,,256.0,5.67,,,6.56,,295.0,,2007-01-20
NORO,503,29.0,19.0,77.3,11.0,,,6.89,,185.0,,2007-01-20
NORO,506,,,145.5,2.58,,,6.65,,2187.0,,2007-01-20
NORO,510,,,83.1,12.4,,,6.87,,148.0,,2007-01-20
NORO,517,,,218.0,2.3,,,6.41,,,,2007-01-20
NORO,518,,,318.0,4.3,,,6.26,,7701.0,,2007-01-20
NORO,520,,,115.8,5.63,,,6.67,,145.0,,2007-01-20
